Geneid	Length
Ng01626	1656
Ng01627	1342
Ng01628	747
Ng01629	1904
Ng01630	885
Ng01631	1371
Ng01632	888
Ng01633	486
Ng01634	309
Ng01635	351
Ng01636	1176
Ng01637	1215
Ng01638	984
Ng01639	1314
Ng01640	861
Ng01641	891
Ng01642	4164
Ng01643	1332
Ng01644	2194
Ng01645	1524
Ng01646	811
Ng01647	2411
Ng01648	1857
Ng01649	1978
Ng01650	843
Ng01651	9336
Ng01652	453
Ng01653	738
Ng01654	285
Ng01655	3728
Ng01656	537
Ng01657	1173
Ng01658	1368
Ng01659	891
Ng01660	318
Ng01661	270
Ng01662	1488
Ng01663	2688
Ng01664	534
Ng01665	2728
Ng01666	1518
Ng01667	765
Ng01668	540
Ng01669	531
Ng01670	327
Ng01671	387
Ng01672	1399
Ng01673	2176
Ng01674	3228
Ng01675	1104
Ng01676	2475
Ng01677	1323
Ng01678	902
Ng01679	2781
Ng01680	1887
Ng01681	864
Ng01682	2667
Ng01683	1410
Ng01684	900
Ng01685	1023
Ng01686	3463
Ng01687	1480
Ng01688	417
Ng01689	4320
Ng01690	414
Ng01691	573
Ng01692	597
Ng01693	891
Ng01694	1005
Ng01695	1044
Ng01696	534
Ng01697	1770
Ng01698	846
Ng01700	2142
Ng01701	330
Ng01702	2154
Ng01703	947
Ng01704	2361
Ng01705	2017
Ng01706	849
Ng01707	5840
Ng01708	1581
Ng01709	855
Ng01710	1659
Ng01711	312
Ng01712	18585
Ng01713	516
Ng01714	2613
Ng01715	1585
Ng01716	1110
Ng01717	2928
Ng01718	1869
Ng01719	186
Ng01720	2010
Ng01721	321
Ng01722	672
Ng01723	942
Ng01724	4140
Ng01725	861
Ng01726	5433
Ng01727	450
Ng01728	303
Ng01729	1871
Ng01730	405
Ng01731	600
Ng01732	4290
Ng01733	876
Ng01734	225
Ng01735	498
Ng01736	801
Ng02299	2304
Ng02300	2901
Ng02301	303
Ng02302	2966
Ng02303	1825
Ng02304	1506
Ng02305	1719
Ng02306	2694
Ng02307	3353
Ng02308	822
Ng02309	1353
Ng02310	2696
Ng02311	324
Ng02312	860
Ng02313	231
Ng02314	2138
Ng02315	1490
Ng02316	318
Ng02317	1176
Ng02318	3146
Ng02319	750
Ng02320	3189
Ng02321	1116
Ng02322	303
Ng02323	303
Ng02324	2073
Ng02325	309
Ng02326	1389
Ng02327	2712
Ng02328	2241
Ng02329	2136
Ng02330	1839
Ng02331	531
Ng02332	780
Ng02333	2646
Ng02334	1308
Ng02335	429
Ng02336	1611
Ng02337	216
Ng02338	1062
Ng02339	480
Ng02340	3277
Ng02341	561
Ng02342	880
Ng02343	747
Ng02344	192
Ng02345	402
Ng02346	240
Ng02347	882
Ng02348	468
Ng02349	849
Ng02350	4920
Ng02351	702
Ng02352	465
Ng02353	2136
Ng02354	2199
Ng02355	2373
Ng02356	687
Ng02357	819
Ng02358	2364
Ng02359	3501
tRNAscan_2	81
Ng02361	1827
Ng02362	576
Ng02363	1434
Ng02364	3153
Ng02365	792
Ng02366	1359
Ng02367	249
Ng02368	1395
Ng02369	1398
Ng02370	2487
Ng02371	1173
Ng02372	333
Ng02373	522
Ng02374	1392
Ng02375	297
Ng02376	2124
Ng02377	4665
Ng02378	1590
Ng02379	666
Ng02380	3519
Ng02381	1517
Ng02382	1194
Ng02383	1563
Ng02384	1359
Ng02385	4968
Ng02386	510
Ng02387	2357
Ng02388	387
Ng02389	1602
Ng02390	1591
Ng02391	1566
Ng02392	1732
Ng02393	567
Ng02394	1327
Ng02395	261
Ng02396	1578
Ng02397	1464
Ng02398	267
Ng02399	630
Ng02400	1353
Ng02401	2571
Ng02402	465
Ng02403	999
Ng02404	366
Ng02405	1092
Ng02406	402
Ng02407	1647
Ng02408	2046
Ng02409	1042
Ng02410	1407
Ng02411	1917
Ng02412	2258
Ng02413	1293
Ng02414	3045
Ng02415	1210
Ng02416	2565
Ng02417	1110
Ng02418	2712
Ng02419	306
Ng02420	378
Ng02421	1020
Ng02422	885
Ng02423	525
Ng02424	699
Ng02425	867
Ng02426	450
Ng02427	1101
Ng02428	1292
Ng02429	1890
Ng02430	1494
Ng02431	1116
Ng02432	540
Ng02433	243
Ng02434	258
Ng02435	2178
Ng02436	948
Ng02437	1110
Ng02438	1323
Ng02439	975
Ng02440	636
Ng02441	762
Ng02442	1965
Ng02443	4163
Ng02444	1773
Ng02445	471
Ng02446	1892
Ng02447	4059
Ng02448	10318
Ng02449	402
Ng02450	276
Ng02451	1455
Ng02452	2221
Ng02453	2250
Ng02454	3843
Ng02455	1977
Ng02456	342
Ng02457	2532
Ng02458	1944
Ng02459	1410
Ng02460	1272
Ng02461	1065
Ng02462	909
Ng02463	573
Ng02464	2133
Ng02465	402
Ng02466	3036
Ng02467	2427
Ng02468	225
Ng02469	1630
Ng02470	2154
Ng02471	810
Ng02472	2985
Ng02473	1401
Ng02474	3249
Ng02475	390
Ng02476	1282
Ng02477	348
Ng02478	1290
Ng02479	1995
Ng02480	3575
Ng02481	354
Ng02482	792
Ng02483	987
Ng02484	1227
Ng02485	402
Ng02486	525
Ng02487	805
Ng02488	528
Ng02489	2046
Ng02490	2446
Ng02491	1122
Ng02492	983
Ng02493	1155
Ng02494	4647
Ng02495	2661
Ng02496	756
Ng02497	1443
Ng02498	1701
Ng02499	827
Ng02500	1536
Ng02501	1935
Ng02502	1563
Ng02503	1347
Ng02504	1362
Ng02505	7977
Ng02506	504
Ng02507	1080
Ng02508	1572
Ng02509	453
Ng02510	2586
Ng02511	3975
Ng02512	960
Ng02513	2526
Ng02514	2181
Ng02515	402
Ng02516	1728
Ng02517	12423
Ng02518	372
Ng02519	4035
Ng02520	387
Ng02521	2650
Ng02522	1467
Ng02523	1189
Ng02524	1734
Ng02525	3240
Ng02526	656
Ng02527	1496
Ng02528	1563
Ng02529	1648
Ng02530	933
Ng02531	1123
Ng02532	1326
Ng02533	5000
Ng02534	387
Ng02535	1222
Ng02536	1620
Ng02537	822
Ng02538	1665
Ng02539	1677
Ng02540	500
Ng02541	1539
Ng02542	3693
Ng02543	1794
Ng02544	1413
Ng02545	1047
Ng02546	1173
Ng02547	1611
Ng02548	1443
Ng02549	2367
Ng02550	693
Ng02551	510
Ng02552	2353
Ng02553	828
Ng02554	1575
Ng02555	1185
Ng02556	9093
Ng02557	1542
Ng02558	1767
Ng02559	201
tRNAscan_3	89
Ng02561	957
Ng02562	735
Ng02563	2192
Ng02564	756
Ng02565	1428
Ng02566	963
Ng02567	1263
Ng02568	858
Ng02569	3616
Ng02570	1935
Ng02571	1044
Ng02572	3413
Ng02573	2469
Ng02574	546
Ng02575	2020
Ng02576	2181
Ng02577	165
Ng02578	639
Ng02579	3234
Ng02580	1434
Ng02581	2031
Ng02582	1312
Ng02583	2964
Ng02584	1578
Ng02585	1284
Ng02586	1740
Ng02587	903
Ng02588	4377
Ng02589	4730
Ng02590	330
Ng02591	1230
Ng02592	2682
Ng02593	1883
Ng02594	1101
Ng02595	1734
Ng02596	901
Ng02597	390
Ng02598	3114
Ng02599	2823
Ng02600	2433
Ng02601	867
Ng02602	1443
Ng02603	633
Ng02604	282
Ng02605	1311
Ng02606	7068
Ng02607	1269
Ng02608	291
Ng02609	264
Ng02610	1485
Ng02611	396
Ng02612	1227
Ng02613	759
Ng02614	4335
Ng02615	2130
Ng02616	2332
Ng02617	5244
Ng02618	1164
Ng02619	1389
Ng02620	732
Ng02621	912
Ng02622	942
Ng02623	1911
Ng02624	300
Ng02625	1257
Ng02626	4227
Ng02627	186
Ng02629	1941
Ng02630	1308
Ng02631	6527
Ng02632	1316
Ng02633	2344
Ng02634	8943
Ng02635	342
Ng02636	426
Ng02637	1461
Ng02638	255
Ng02639	1642
Ng02640	600
Ng02641	408
Ng02642	1383
Ng02643	1336
Ng02644	774
Ng02645	393
Ng02646	1161
Ng02647	252
Ng02648	597
Ng02649	1083
Ng02650	2133
Ng02651	2018
Ng02652	1536
tRNAscan_4	98
Ng02654	2420
Ng02655	1380
Ng02656	5874
Ng02657	1614
Ng02658	183
Ng02659	2385
Ng02660	1761
Ng02661	243
Ng02662	654
Ng02663	2007
Ng02664	663
Ng02665	1182
Ng02666	1867
Ng02667	1887
Ng02668	2964
Ng02669	2850
Ng02670	450
Ng02671	1365
Ng02672	1407
Ng02673	2571
Ng02674	330
Ng02675	279
Ng02676	1566
Ng02677	1668
Ng02678	2478
Ng02679	927
Ng02680	507
Ng02681	693
Ng02682	1872
Ng02683	1923
Ng02684	1118
Ng02685	1530
Ng02686	2301
Ng02687	1287
Ng02688	402
Ng02689	747
Ng02690	1623
Ng02691	3362
Ng02692	3027
Ng02693	3113
Ng02694	654
Ng02695	534
Ng02696	384
Ng02697	384
Ng02698	1347
Ng02699	1944
Ng02700	2376
Ng02701	2832
Ng02702	1476
Ng02703	1263
Ng02704	1212
Ng02705	447
Ng02706	2898
Ng02707	2259
Ng02708	1944
Ng02709	1443
Ng02710	909
Ng02711	4346
Ng02712	2751
Ng02713	2821
Ng02714	1506
Ng02715	1539
Ng02716	1406
Ng02717	3273
Ng02718	927
Ng02719	438
Ng02720	519
Ng02721	1426
Ng02722	1623
Ng02723	951
Ng02724	5289
Ng02725	276
Ng02726	777
Ng02727	947
Ng02728	477
Ng02729	1911
Ng02730	1527
Ng02731	2011
Ng02732	1295
Ng02733	1944
Ng02734	696
Ng02735	1707
Ng02736	186
Ng02737	1014
Ng02738	1125
Ng02739	210
Ng02740	1335
Ng02741	891
Ng02742	195
Ng02743	1677
Ng02744	204
Ng02745	7822
Ng02746	585
Ng02747	3609
Ng02748	2407
Ng02749	3849
Ng02750	417
Ng02751	2277
Ng02752	1905
Ng02753	1086
Ng02754	4972
Ng02755	4068
Ng02756	522
Ng02757	1650
Ng02758	2184
Ng02759	1158
Ng02760	1467
Ng02761	330
Ng02762	1488
Ng02763	336
Ng02764	1104
Ng02765	1414
Ng02766	1782
Ng02767	1115
Ng02768	825
Ng02769	300
Ng02770	902
Ng02771	1068
Ng02772	1182
Ng02773	501
Ng02774	3333
Ng02775	774
Ng02776	642
Ng02777	2379
Ng02778	1777
Ng02779	2047
Ng02780	1572
Ng02781	1212
Ng02782	3354
Ng02783	1644
Ng02784	225
Ng02785	851
Ng02786	882
Ng02787	237
Ng02788	2731
Ng02789	345
Ng02790	1617
Ng02791	1776
Ng02792	483
Ng02793	225
Ng02794	459
Ng02795	339
Ng02796	1929
Ng02797	3290
Ng02798	345
Ng02799	375
Ng02800	1422
Ng02801	1820
Ng02802	658
Ng02803	1229
Ng02804	1919
Ng02805	342
Ng02806	717
Ng02807	1527
Ng02808	1370
Ng02809	1349
Ng02810	1161
Ng02811	690
Ng02812	894
Ng02813	864
Ng02814	1994
Ng02815	459
Ng02816	1131
Ng02817	861
Ng02818	1533
Ng02819	234
Ng02820	348
Ng02821	339
Ng02822	426
Ng02823	714
Ng02824	321
Ng02825	1005
Ng02826	2195
Ng02827	228
Ng02828	402
Ng02829	387
Ng02830	378
Ng02831	964
Ng02832	522
Ng02833	372
Ng02834	4480
Ng02835	1167
Ng02836	2110
Ng02837	348
Ng02838	1098
Ng02839	1528
Ng02840	1107
Ng02841	903
Ng02842	1155
Ng02843	1278
Ng02844	2097
Ng02845	882
Ng02846	387
Ng02847	1098
Ng02848	5763
Ng01737	1158
Ng01738	3944
Ng01739	462
Ng01740	825
Ng01741	2628
Ng01742	240
Ng01743	1794
Ng01744	573
Ng01745	1134
Ng01746	703
Ng01747	711
Ng01748	315
Ng01749	297
Ng01750	201
Ng01751	2841
Ng01752	339
Ng01753	4191
Ng01754	3286
Ng01755	603
Ng01756	2280
Ng01757	1215
Ng01758	1438
Ng01759	381
Ng01760	273
Ng01761	3047
Ng01762	4089
Ng01763	207
Ng01764	1212
Ng01765	1121
Ng01766	2904
Ng01767	591
Ng01768	1583
Ng01769	1826
Ng01770	1722
Ng01771	2222
Ng01772	629
Ng01773	4294
Ng01774	732
Ng01775	429
Ng01776	1455
Ng01777	1223
Ng01778	1680
Ng01779	2208
Ng01780	723
Ng01781	2958
Ng01782	2376
Ng01783	1541
Ng01784	402
Ng01785	189
Ng01786	5529
Ng01787	1953
Ng01788	330
Ng01789	357
Ng01790	2325
Ng01791	480
Ng01792	2244
Ng01793	231
Ng01794	3143
Ng01795	411
Ng01796	1901
Ng01797	378
Ng01798	258
Ng01799	1098
Ng01800	1569
Ng01801	2249
Ng01802	411
Ng01803	1029
Ng01804	594
Ng01805	1578
Ng01806	2079
Ng01807	300
Ng01808	2781
Ng01809	912
Ng01810	552
Ng01811	357
Ng01812	1524
Ng01813	936
Ng01814	741
Ng01815	2388
Ng01816	1461
Ng01817	189
Ng01818	1935
Ng01819	930
Ng01820	1287
Ng01821	564
Ng01822	1542
Ng01823	1656
Ng01824	189
Ng01825	1458
Ng01826	228
Ng01827	396
Ng01828	1275
Ng01829	1812
Ng01830	789
Ng01831	1008
Ng01832	1101
Ng01833	888
Ng01834	1070
Ng01835	1545
Ng01836	2077
Ng01837	1062
Ng01838	4063
Ng01839	234
Ng01840	2791
Ng01841	435
Ng01842	5364
Ng01843	2463
Ng01844	693
Ng01845	1836
Ng01846	945
Ng01847	1485
Ng01848	414
Ng01849	846
Ng01850	564
Ng01851	2430
Ng01852	1090
Ng01853	3837
Ng01854	651
Ng01855	2982
Ng01856	1737
Ng01857	720
Ng01858	1503
Ng01859	570
Ng01860	1125
Ng01861	1778
Ng01862	1350
Ng01863	1728
Ng01864	3840
Ng01865	552
Ng01866	1641
Ng01867	444
Ng01868	1155
Ng01869	192
Ng01870	2157
Ng01871	2508
Ng01872	498
Ng01873	2238
Ng01874	1016
Ng01875	1635
Ng01876	1428
Ng01877	1053
Ng01878	1642
Ng01879	1686
Ng01880	243
Ng01881	1416
Ng01882	1275
Ng01883	156
Ng01884	978
Ng01885	1719
Ng01886	2568
Ng01887	624
Ng01888	252
Ng01889	3891
Ng01890	4503
Ng01891	2652
Ng01892	3706
Ng01893	849
Ng01894	1455
Ng01895	807
Ng01896	324
Ng01897	1083
Ng01898	993
Ng01899	2010
Ng01900	6474
Ng01901	222
Ng01902	831
Ng01903	366
Ng01904	918
Ng01905	3067
Ng01906	492
Ng01907	1109
Ng01908	1401
Ng01909	1618
Ng01910	1887
Ng01911	4714
Ng01912	492
Ng01913	1811
Ng01914	501
Ng01915	4611
Ng01916	645
Ng01917	789
Ng01918	456
Ng01919	990
Ng01920	1222
Ng01921	360
Ng01922	1125
Ng01923	3192
Ng01924	2912
Ng01925	312
Ng01926	911
Ng01927	666
Ng01928	1077
Ng01929	297
Ng01930	597
Ng01931	2509
Ng01932	1773
Ng01933	2829
Ng01934	192
Ng01935	903
Ng01936	2024
Ng01937	1946
Ng01938	1206
Ng01939	933
Ng01940	2199
Ng01941	945
Ng01942	366
Ng01943	285
Ng01944	861
Ng01945	513
Ng01946	1163
Ng01947	1086
Ng01948	1260
Ng01949	303
Ng01950	1326
Ng01951	183
Ng01952	1515
Ng01953	2007
Ng01954	1521
Ng01955	13461
Ng01956	2049
Ng01957	417
Ng01958	318
Ng01959	204
Ng01960	452
Ng01961	2157
Ng01962	1338
Ng01963	1683
Ng01964	750
Ng01965	1038
Ng01966	1746
Ng01967	3441
Ng01968	699
Ng01969	1348
Ng01970	3276
Ng01971	201
Ng01972	3960
Ng01973	1875
Ng01974	1140
Ng01975	4527
Ng01976	3795
Ng01977	3597
Ng01978	2511
Ng01979	249
Ng01980	234
Ng01981	1917
Ng01982	461
Ng01983	198
Ng01984	1506
Ng01985	1116
Ng01986	1626
Ng01987	1764
Ng01988	1178
Ng01989	567
Ng01990	1305
Ng01991	2313
Ng01992	1977
Ng01993	273
Ng01994	1173
Ng01995	1467
Ng01996	1338
Ng01997	342
Ng01998	2061
Ng01999	1353
Ng02000	2073
Ng02001	366
Ng02002	379
Ng02003	4995
Ng02004	708
Ng02005	1074
Ng02006	4329
Ng02007	924
Ng02008	1736
Ng02009	870
Ng02010	3003
Ng02011	906
Ng02012	1590
Ng02013	2192
Ng02014	252
Ng02015	420
Ng02016	2151
Ng02017	300
Ng02018	909
Ng02019	1272
Ng02020	1523
Ng02021	1446
Ng02022	1636
Ng02023	2627
Ng02024	510
Ng02025	236
Ng02026	608
Ng02027	852
Ng02028	1890
Ng02029	990
Ng02030	1410
Ng02031	2007
Ng02032	905
Ng02033	1794
Ng02034	2466
Ng02035	270
Ng02036	1665
Ng02037	210
Ng02038	967
Ng02039	7209
Ng02040	1725
Ng02041	1846
Ng02042	1290
Ng02043	3198
Ng02044	1860
Ng02045	1206
Ng02046	4890
Ng02047	4821
Ng02048	774
Ng02049	1359
Ng02050	1119
Ng02051	216
Ng02052	819
Ng02053	1113
Ng02054	2040
Ng02055	3495
Ng02056	1424
Ng02057	1560
Ng02058	333
Ng02059	1416
Ng02060	1188
Ng02061	1070
Ng02062	1389
Ng02063	1998
Ng02064	1297
Ng02065	1719
Ng02066	2971
Ng02067	879
Ng02068	3222
Ng02069	3730
Ng02070	834
Ng02071	786
Ng02072	1544
Ng02073	1893
Ng02074	4251
Ng02075	426
Ng02076	1408
Ng02077	954
Ng02078	675
Ng02079	1995
Ng02080	918
Ng02081	594
Ng02082	1526
Ng02083	1578
Ng02084	1611
Ng02085	944
Ng02086	1845
Ng02087	822
Ng02088	1335
Ng02089	1005
Ng02090	2151
Ng02091	891
Ng02092	261
Ng02093	984
Ng02094	1947
Ng02095	1322
Ng02096	1788
Ng02097	429
Ng02098	2075
Ng02099	3054
Ng02100	2327
Ng02101	1305
Ng02102	3554
Ng02103	1497
Ng02104	784
Ng02105	486
Ng02106	6043
Ng02107	1605
Ng02108	2247
Ng02109	3189
Ng02110	213
Ng02111	1071
Ng02112	1092
Ng02113	777
Ng02114	921
Ng02115	1235
Ng02116	1500
Ng02117	1398
Ng02118	565
Ng02119	432
Ng02120	1926
Ng02121	846
Ng02122	1860
Ng02123	1674
Ng02124	1986
Ng02125	687
Ng02126	1086
Ng02127	216
Ng02128	309
Ng02129	2160
Ng02130	663
Ng02131	1320
Ng02132	609
Ng02133	3237
Ng02134	1206
Ng02135	1070
Ng02136	834
Ng02137	1044
Ng02138	2739
Ng02139	1179
Ng02140	912
Ng02141	2106
Ng02142	969
Ng02143	1045
Ng02144	1113
Ng02145	1650
Ng02146	1765
Ng02147	2700
Ng02148	1423
Ng02149	1884
Ng02150	1194
Ng02151	231
Ng02152	405
Ng02153	1011
Ng02154	840
Ng02155	1584
Ng02156	1434
Ng02157	1074
Ng02158	906
Ng02159	1006
Ng02160	3540
Ng02161	393
Ng02162	1563
Ng02163	3502
Ng02164	492
Ng02165	3878
Ng02166	189
Ng02167	339
Ng02168	582
Ng02169	1041
Ng02170	1878
Ng02171	1242
Ng02172	1011
Ng02173	4134
Ng02174	366
Ng02175	4963
Ng02176	1389
Ng02177	2138
Ng02178	1761
Ng02179	3275
Ng02180	306
Ng02181	1827
Ng02182	477
Ng02183	1014
Ng02184	1684
Ng02185	2229
Ng02186	1659
Ng02187	651
Ng02188	3190
Ng02189	3369
Ng02190	375
Ng02191	753
Ng02192	2254
Ng02193	726
Ng02194	795
Ng02195	999
Ng02196	1419
Ng02197	414
Ng02198	2227
Ng02199	1083
Ng02200	1355
Ng02201	1116
Ng02202	717
Ng02203	1254
Ng02204	522
Ng02205	393
Ng02206	1290
Ng02207	2510
Ng02208	768
Ng02209	1191
Ng02210	792
Ng02211	2672
Ng02212	3069
Ng02213	1455
Ng02214	3872
Ng02215	1965
Ng02216	1281
Ng02217	1902
Ng02218	300
Ng02219	1794
Ng02220	648
Ng02221	419
Ng02222	2466
Ng02223	783
Ng02224	1869
Ng02225	432
Ng02226	189
Ng02227	3606
Ng02228	2446
Ng02229	2010
Ng02230	1809
Ng02231	1776
Ng02232	1853
Ng02233	828
Ng02234	1445
Ng02235	1257
Ng02236	756
Ng02237	1451
Ng02238	1962
Ng02239	1080
Ng02240	1644
Ng02241	348
Ng02242	1527
Ng02243	279
Ng02244	1464
Ng02245	192
Ng02246	2235
Ng02247	1251
Ng02248	660
Ng02249	369
Ng02250	426
Ng02251	1740
Ng02252	1761
Ng02253	732
Ng02254	285
Ng02255	1920
Ng02256	903
Ng02257	1086
Ng02258	1011
Ng02259	267
Ng02260	1119
Ng02261	645
Ng02262	668
Ng02263	717
Ng02264	369
Ng02265	1398
Ng02266	264
Ng02267	198
Ng02268	1104
Ng02269	2265
Ng02270	228
Ng02271	2112
Ng02272	587
Ng02273	264
Ng02274	1353
Ng02275	1299
Ng02276	336
Ng02277	240
Ng02278	2556
Ng02279	534
Ng02280	2031
Ng02281	1302
Ng02282	1023
Ng02283	120
Ng02284	621
Ng02285	306
Ng02286	1413
Ng02287	3078
Ng02288	1110
Ng02289	531
Ng02290	3102
Ng02291	237
Ng02292	807
Ng02293	552
Ng02294	1047
Ng02295	1275
Ng02296	1038
Ng02297	333
Ng02298	3027
Ng02849	387
Ng02850	2397
Ng02851	1605
Ng02852	291
Ng02853	1674
Ng02854	4302
Ng02855	384
Ng02856	363
Ng02857	1227
Ng02858	4227
Ng02859	2025
Ng02860	2004
Ng02861	1648
Ng02862	1854
Ng02863	2046
Ng02864	1398
Ng02865	981
Ng02866	471
Ng02867	1008
Ng02868	2091
Ng02869	1504
Ng02870	357
Ng02871	681
Ng02872	573
Ng02873	2067
Ng02874	999
Ng02875	1035
Ng02876	1482
Ng02877	414
Ng02878	330
Ng02879	4992
Ng02880	294
Ng02881	180
Ng02882	549
Ng02883	465
Ng02884	996
Ng02885	840
Ng02886	2205
Ng02887	2786
Ng02888	3780
Ng02889	2462
Ng02890	2121
Ng02891	204
Ng02892	1407
Ng02893	333
Ng02894	591
Ng02895	2664
Ng02896	1110
Ng02897	1926
Ng02898	225
Ng02899	1050
Ng02900	225
Ng02901	693
Ng02902	246
Ng02903	507
Ng02904	6420
Ng02905	180
Ng02906	675
Ng02907	357
Ng02908	486
Ng02909	363
Ng02910	291
Ng02911	2601
Ng02912	2517
Ng02913	6837
Ng02914	405
Ng02915	1962
Ng02916	1578
Ng02917	3259
Ng02918	1184
Ng02919	1392
Ng02920	480
Ng02921	1135
Ng02922	528
Ng02923	2874
Ng02924	897
Ng02925	537
Ng02926	2569
Ng02927	363
Ng02928	2202
Ng02929	1700
Ng02930	1497
Ng02931	474
Ng02932	438
Ng02933	405
Ng02934	2578
Ng02935	3349
Ng02936	462
Ng02937	1014
Ng02938	1566
Ng02939	4131
Ng02940	1107
Ng02941	1569
Ng02942	363
Ng02943	1167
Ng02944	654
Ng02945	1535
Ng02946	291
Ng02947	1812
Ng02948	3153
Ng02949	1966
Ng02950	633
Ng02951	633
Ng02952	633
Ng02953	1896
Ng02954	1728
Ng02955	1068
Ng02956	3987
Ng02957	1779
Ng02958	1248
Ng02959	1146
Ng02960	1011
Ng02961	1842
Ng02962	4221
Ng02963	1446
Ng02964	180
Ng02965	1353
Ng02966	953
Ng02967	819
Ng02968	1008
Ng02969	1017
Ng02970	2753
Ng02971	867
Ng02972	1788
Ng02973	4405
Ng02974	876
Ng02975	1065
Ng02976	786
Ng02977	2430
Ng02978	1548
Ng02979	597
Ng02980	879
Ng02981	2529
Ng02982	1650
Ng02983	2799
Ng02984	348
Ng02985	1713
Ng02986	2004
Ng02987	2730
Ng02988	2367
Ng02989	732
Ng02990	786
Ng02991	2327
Ng02992	2787
Ng02993	4572
Ng02994	468
Ng02995	2159
Ng02996	1296
Ng02997	597
Ng02998	2408
Ng02999	216
Ng03000	1274
Ng03001	1689
Ng03002	1276
Ng03003	1107
Ng03004	757
Ng03005	1344
Ng03006	749
Ng03007	3618
Ng03008	339
Ng03009	1508
Ng03010	3429
Ng03011	978
Ng03012	774
Ng03013	1932
Ng03014	1659
Ng03015	2581
Ng03016	504
Ng03017	2241
Ng03018	354
Ng03019	465
Ng03020	1254
Ng03021	1179
Ng03022	7512
Ng03023	366
Ng03024	477
Ng03025	2301
Ng03026	3066
Ng03027	1026
Ng03028	1938
Ng03029	1614
Ng03030	1562
Ng03031	2796
Ng03032	318
Ng03033	279
Ng03034	3729
Ng03035	339
Ng03036	2391
Ng03037	393
Ng03038	1038
Ng03039	1293
Ng03040	888
Ng03041	693
Ng03042	1848
Ng03043	2006
Ng03044	1496
Ng03045	591
Ng03046	2604
Ng03047	618
Ng03048	261
Ng03049	3168
Ng03050	369
Ng03051	945
Ng03052	1254
Ng03053	1041
Ng03054	1569
Ng03055	1263
Ng03056	2052
Ng03057	252
Ng03058	945
Ng03059	1416
Ng03060	2130
Ng03061	345
Ng03062	1746
Ng03063	2902
Ng03064	1479
Ng03065	1617
Ng03066	1755
Ng03067	1086
Ng03068	2581
Ng03069	2529
Ng03070	801
Ng03071	4392
Ng03072	300
Ng03073	1518
Ng03074	2448
Ng03075	1122
Ng03076	534
Ng03077	2268
Ng03078	234
Ng03079	612
Ng03080	1021
Ng03081	1719
Ng03082	1226
Ng03083	675
Ng03084	1622
Ng03085	243
Ng03086	1190
Ng03087	2313
Ng03088	618
Ng03089	11155
Ng03090	2100
Ng03091	1152
Ng03092	525
Ng03093	447
Ng03094	2616
Ng03095	999
Ng03096	780
Ng03097	1131
Ng03098	1743
Ng03099	1312
Ng03100	2115
Ng03101	2385
Ng03102	246
Ng03103	381
Ng03104	810
Ng03105	2090
Ng03106	999
Ng03107	876
Ng03108	1058
Ng03109	648
Ng03110	2994
Ng03111	3336
Ng03112	225
Ng03113	7509
Ng03114	2770
Ng03115	453
Ng03116	1866
Ng03117	3699
Ng03118	1620
Ng03119	705
Ng03120	1032
Ng03121	1850
Ng03122	1521
Ng03123	1299
Ng03124	606
Ng03125	867
Ng03126	873
Ng03127	559
Ng03128	2130
Ng03129	3417
Ng03130	2848
Ng03131	681
Ng03132	1212
Ng03133	579
Ng03134	1122
Ng03135	5668
Ng03136	1095
Ng03137	450
Ng03138	375
Ng03139	2440
Ng03140	930
Ng03141	1644
Ng03142	3948
Ng03143	1062
Ng03144	2502
Ng03145	411
Ng03146	591
Ng03147	330
Ng03148	1356
Ng03149	1071
Ng03150	204
Ng03151	2505
Ng03152	1692
Ng03153	2920
Ng03154	1641
Ng03155	5759
Ng03156	348
Ng03157	3936
Ng03158	3016
Ng03159	513
Ng03160	1451
Ng03161	4146
Ng03162	396
Ng03163	510
Ng03164	1983
Ng03165	1395
Ng03166	1887
Ng03167	1905
Ng03168	1608
Ng03169	372
Ng03170	1431
Ng03171	1515
Ng03172	2352
Ng03173	975
Ng03174	3225
Ng03175	1927
Ng03176	2510
Ng03177	1248
Ng03178	1402
Ng03179	1578
Ng03180	1215
Ng03181	1518
Ng03182	423
Ng03183	4452
Ng03184	2054
Ng03185	711
Ng03186	2121
Ng03187	1692
Ng03188	753
Ng03189	1796
Ng03190	1563
Ng03191	1434
Ng03192	4269
Ng03193	684
Ng03194	1635
Ng03195	2190
Ng03196	2190
Ng03197	1425
Ng03198	1629
Ng03199	1353
Ng03200	975
Ng03201	1320
Ng03202	2247
Ng03203	783
Ng03204	399
Ng03205	381
Ng03206	714
Ng03207	1944
Ng03208	1020
Ng03209	1167
Ng03210	1736
Ng03211	2056
Ng03212	1692
Ng03213	3795
Ng03214	360
Ng03215	1212
Ng03216	192
Ng03217	1590
Ng03218	618
Ng03219	1158
Ng03220	765
Ng03221	1901
Ng03222	561
Ng03223	1275
Ng03224	972
Ng03225	1053
Ng03226	741
Ng03227	1950
Ng03228	189
Ng03229	855
Ng03230	990
Ng03231	1086
Ng03232	2587
Ng03233	297
Ng03234	1368
Ng03235	1706
Ng03236	1152
Ng03237	276
Ng03238	747
Ng03239	1590
Ng03240	2100
Ng03241	2253
Ng03242	330
Ng03243	1770
Ng03244	1272
Ng03245	540
Ng03246	2991
Ng03247	2416
Ng03248	1122
Ng03249	768
Ng03250	564
Ng03251	1047
